#instance_name: normalized-10arraycomm_teq_tvars_less
#number_of_variables: 620
#number_of_Constraints: 341
#iteration elapsed_time averaged_inner_iteration_speed averaged_move_evaluation_speed local_objective local_violation global_objective global_violation primal_intensity dual_intensity performance update_status distance_from_current_solution distance_from_global_solution employing_local_solution_flag employing_global_solution_flag employing_previous_solution_flag is_enabled_penalty_coefficient_relaxing is_enabled_penalty_coefficient_tightening penalty_coefficient_reset_flag penalty_coefficient_relaxing_rate penalty_coefficient_tightening_rate is_enabled_forcibly_initial_modification number_of_initial_modification initial_tabu_tenure number_of_threads_move_update; averaged_number_of_threads_move_update; number_of_threads_move_evaluation averaged_number_of_threads_move_evaluation 
42 3.46286 27032.3 2.05345e+07 0 1 0 1 0.00207226 0.0046936 0 0 0 228 0 1 0 1 0 0 0.96 1 1 9 30 1 1.93023 1 2.86047
43 3.50991 27257.9 2.07076e+07 0 1 0 1 0.00206007 0.00464988 0.0005 1 117 117 1 0 0 0 1 0 0.96 1 1 19 30 1 1.90909 1 2.81818
44 3.55405 27501.3 2.08929e+07 0 1 0 1 0.00205978 0.00463577 0.0005 1 79 142 1 0 0 0 1 0 0.96 1 1 11 31 1 1.88889 1 2.77778
45 3.60168 27709.2 2.10549e+07 0 1 0 1 0.00205898 0.00461809 0.0005 1 135 191 1 0 0 0 1 0 0.96 1 1 21 32 1 1.86957 1 2.73913
46 3.64967 27908.2 2.12107e+07 0 1 0 1 0.00205711 0.0046128 0.0005 1 32 187 1 0 0 0 1 0 0.96 1 1 12 31 1 1.85106 1 2.70213
47 3.69687 28108.1 2.13648e+07 0 1 0 1 0.00205341 0.00459258 0.0005 1 136 209 1 0 0 0 1 0 0.96 1 1 11 30 1 1.83333 1 2.66667
48 3.74107 28327.1 2.1534e+07 0 1 0 1 0.00205595 0.00458724 0 0 0 209 0 1 0 1 0 0 0.96 1 1 21 30 1 1.81633 1 2.63265
49 3.78529 28540.4 2.1697e+07 0 1 0 1 0.00205171 0.00458389 0.0005 1 40 40 1 0 0 0 1 0 0.96 1 1 10 30 1 1.8 1 2.6
50 3.82832 28758 2.18621e+07 0 1 0 1 0.00205333 0.00459414 0.0005 1 99 107 1 0 0 0 1 0 0.96 1 1 16 31 1 1.78431 1 2.56863
51 3.87225 28963.2 2.20203e+07 0 1 0 1 0.00205323 0.00459578 0.0005 1 72 145 1 0 0 0 1 0 0.96 1 1 13 31 1 1.76923 1 2.53846
52 3.91616 29163.6 2.2174e+07 0 1 0 1 0.00204427 0.00455736 0.0005 1 121 172 1 0 0 0 1 0 0.96 1 1 10 30 1 1.75472 1 2.50943
53 3.96049 29355.7 2.23239e+07 0 1 0 1 0.00203994 0.00453812 0.0005 1 154 232 1 0 0 0 1 0 0.96 1 1 20 30 1 1.74074 1 2.48148
54 4.00595 29534.4 2.24604e+07 0 1 0 1 0.00204081 0.00455119 0 0 0 232 0 1 0 1 0 0 0.96 1 1 17 30 1 1.72727 1 2.45455
55 4.05018 29718.5 2.26042e+07 0 1 0 1 0.00204132 0.00453645 0.0005 1 57 57 1 0 0 0 1 0 0.96 1 1 15 31 1 1.71429 1 2.42857
56 4.09367 29904.1 2.27453e+07 0 1 0 1 0.00204304 0.00455169 0.0005 1 116 149 1 0 0 0 1 0 0.96 1 1 23 32 1 1.70175 1 2.40351
57 4.13741 30083.6 2.2883e+07 0 1 0 1 0.00203815 0.00456 0 0 0 149 0 1 0 1 0 0 0.96 1 1 10 31 1 1.68966 1 2.37931
58 4.18188 30253.3 2.30123e+07 0 1 0 1 0.00203909 0.0045689 0.0005 1 119 119 1 0 0 0 1 0 0.96 1 1 17 32 1 1.67797 1 2.35593
59 4.22835 30403.9 2.31272e+07 0 1 0 1 0.00203925 0.00457563 0.0005 1 78 145 1 0 0 0 1 0 0.96 1 1 16 33 1 1.66667 1 2.33333
60 4.27603 30541.7 2.32353e+07 0 1 0 1 0.0020413 0.00457405 0.0005 1 143 212 1 0 0 0 1 0 0.96 1 1 23 34 1 1.65574 1 2.31148
61 4.3231 30680.8 2.33405e+07 0 1 0 1 0.0020416 0.00457828 0 0 0 212 0 1 0 1 0 0 0.96 1 1 15 33 1 1.64516 1 2.29032
62 4.37045 30814.6 2.34431e+07 0 1 0 1 0.00203983 0.00456929 0.0005 1 189 189 1 0 0 0 1 0 0.96 1 1 11 32 1 1.63492 1 2.26984
63 4.41792 30944.5 2.35432e+07 0 1 0 1 0.00204238 0.00456845 0.001 1 229 268 1 0 0 0 1 0 0.96 1 1 14 32 1 1.625 1 2.25
64 4.46515 31073.2 2.36411e+07 0 1 0 1 0.00204661 0.00458275 0 0 0 268 0 1 0 1 0 0 0.96 1 1 17 31 1 1.61538 1 2.23077
65 4.50985 31217.7 2.37522e+07 0 1 0 1 0.00204245 0.00456257 0.0005 1 160 160 1 0 0 0 1 0 0.96 1 1 17 30 1 1.60606 1 2.21212
66 4.55475 31357.8 2.38601e+07 0 1 0 1 0.00204321 0.00455579 0 0 0 160 0 1 0 1 0 0 0.96 1 1 17 30 1 1.59701 1 2.19403
67 4.60126 31483.1 2.39559e+07 0 1 0 1 0.00204257 0.00456044 0.0005 1 82 82 1 0 0 0 1 0 0.96 1 1 15 30 1 1.58824 1 2.17647
68 4.64648 31615.1 2.4059e+07 0 1 0 1 0.00204407 0.004582 0 0 0 82 0 1 0 1 0 0 0.96 1 1 8 30 1 1.57971 1 2.15942
69 4.69314 31734.1 2.41506e+07 0 1 0 1 0.00204262 0.00457274 0.0005 1 59 59 1 0 0 0 1 0 0.96 1 1 16 30 1 1.57143 1 2.14286
70 4.73935 31853.8 2.42449e+07 0 1 0 1 0.00204327 0.00458288 0 0 0 59 0 1 0 1 0 0 0.96 1 1 9 30 1 1.56338 1 2.12676
71 4.78324 31987.5 2.43464e+07 0 1 0 1 0.00203773 0.00457238 0.0005 1 46 46 1 0 0 0 1 0 0.96 1 1 15 30 1 1.55556 1 2.11111
72 4.82781 32113.8 2.44436e+07 0 2 0 1 0.00203992 0.00457331 0.0005 1 87 89 1 0 0 0 1 0 0.96 1 1 20 31 1 1.54795 1 2.09589
73 4.87193 32240.9 2.45393e+07 0 2 0 1 0.00203798 0.00455926 0.0005 1 160 195 1 0 0 0 1 0 0.96 1 1 10 30 1 1.54054 1 2.08108
74 4.91685 32359.9 2.46319e+07 0 1 0 1 0.00203747 0.00454882 0.001 1 118 221 1 0 0 0 1 0 0.96 1 1 18 30 1 1.53333 1 2.06667
75 4.96337 32465.5 2.47134e+07 0 1 0 1 0.00203859 0.00453874 0.001 1 150 263 1 0 0 0 1 0 0.96 1 1 16 30 1 1.52632 1 2.05263
76 5.00926 32573.5 2.47953e+07 0 2 0 1 0.00204022 0.00454002 0.0005 1 56 265 1 0 0 0 1 0 0.96 1 1 13 31 1 1.51948 1 2.03896
77 5.05371 32689.1 2.48843e+07 0 2 0 1 0.00204345 0.00455019 0.0005 1 203 278 1 0 0 0 1 0 0.96 1 1 11 32 1 1.51282 1 2.02564
78 5.0979 32804.5 2.49727e+07 0 2 0 1 0.00204413 0.00455507 0.0005 1 169 289 1 0 0 0 1 0 0.96 1 1 17 32 1 1.50633 1 2.01266
79 5.14221 32916.9 2.506e+07 0 2 0 1 0.0020463 0.00454772 0 0 0 289 0 1 0 1 0 0 0.96 1 1 14 31 1 1.5 1 2
80 5.18676 33025.7 2.51446e+07 0 1 0 1 0.00204492 0.00454814 0.0005 1 165 165 1 0 0 0 1 0 0.96 1 1 9 30 1 1.49383 1 1.98765
81 5.2301 33140.6 2.52319e+07 0 1 0 1 0.00204108 0.00453019 0.001 1 21 154 1 0 0 0 1 0 0.96 1 1 14 30 1 1.4878 1 1.97561
82 5.27482 33244.3 2.53131e+07 0 2 0 1 0.00204334 0.00454545 0.0005 1 53 165 1 0 0 0 1 0 0.96 1 1 16 31 1 1.48193 1 1.96386
83 5.31868 33351.9 2.5395e+07 0 2 0 1 0.00204454 0.00453936 0.0005 1 114 229 1 0 0 0 1 0 0.96 1 1 9 31 1 1.47619 1 1.95238
84 5.36478 33442.8 2.54652e+07 0 2 0 1 0.00204624 0.00453659 0.001 1 130 261 1 0 0 0 1 0 0.96 1 1 23 32 1 1.47059 1 1.94118
85 5.41135 33529.1 2.553e+07 0 1 0 1 0.0020489 0.00454849 0.001 1 129 248 1 0 0 0 1 0 0.96 1 1 10 33 1 1.46512 1 1.93023
86 5.4578 33614.7 2.55933e+07 0 1 0 1 0.00204762 0.00454322 0 0 0 248 0 1 0 1 0 0 0.96 1 1 15 32 1 1.45977 1 1.91954
87 5.50358 33703 2.56601e+07 0 1 0 1 0.00204174 0.00452237 0.0005 1 147 147 1 0 0 0 1 0 0.96 1 1 13 31 1 1.45455 1 1.90909
88 5.55104 33778.9 2.57189e+07 0 1 0 1 0.00204083 0.00452956 0.001 1 169 202 1 0 0 0 1 0 0.96 1 1 18 30 1 1.44944 1 1.89888
89 5.59746 33860.2 2.57798e+07 0 1 0 1 0.00204152 0.00452987 0.001 1 127 213 1 0 0 0 1 0 0.96 1 1 11 31 1 1.44444 1 1.88889
90 5.64508 33932.5 2.58378e+07 0 2 0 1 0.00204203 0.00451794 0.0005 1 126 235 1 0 0 0 1 0 0.96 1 1 16 30 1 1.43956 1 1.87912
91 5.69243 34005.2 2.5894e+07 0 1 0 1 0.00204007 0.00451173 0.001 1 154 271 1 0 0 0 1 0 0.96 1 1 20 30 1 1.43478 1 1.86957
92 5.7405 34072.1 2.59471e+07 0 1 0 1 0.00204276 0.00451192 0.001 1 140 291 1 0 0 0 1 0 0.96 1 1 13 31 1 1.43011 1 1.86022
93 5.78612 34153 2.60095e+07 0 1 0 1 0.00204284 0.0045057 0.001 1 221 300 1 0 0 0 1 0 0.96 1 1 11 32 1 1.42553 1 1.85106
94 5.82958 34246 2.60791e+07 0 2 0 1 0.00204122 0.00450531 0.0005 1 174 332 1 0 0 0 1 0 0.96 1 1 19 31 1 1.42105 1 1.84211
95 5.87598 34319.4 2.61355e+07 0 2 0 1 0.00204501 0.00452562 0 0 0 332 0 1 0 1 0 0 0.96 1 1 8 30 1 1.41667 1 1.83333
96 5.92122 34398.8 2.61963e+07 0 1 0 1 0.0020453 0.00451612 0.0005 1 86 86 1 0 0 0 1 0 0.96 1 1 21 30 1 1.41237 1 1.82474
97 5.96559 34482.1 2.626e+07 0 1 0 1 0.00204447 0.00450366 0.001 1 191 215 1 0 0 0 1 0 0.96 1 1 11 30 1 1.40816 1 1.81633
98 6.01064 34560.1 2.63207e+07 0 1 0 1 0.00204449 0.00450121 0.001 1 59 212 1 0 0 0 1 0 0.96 1 1 18 31 1 1.40404 1 1.80808
99 6.05479 34642.2 2.63818e+07 0 1 0 1 0.00204518 0.00449897 0.0005 1 17 211 1 0 0 0 1 0 0.96 1 1 19 32 1 1.4 1 1.8
100 6.09994 34717.1 2.64403e+07 0 2 0 1 0.00204564 0.00450074 0.0005 1 171 254 1 0 0 0 1 0 0.96 1 1 13 33 1 1.39604 1 1.79208
101 6.14479 34792.7 2.64987e+07 0 1 0 1 0.0020452 0.00449658 0.001 1 148 274 1 0 0 0 1 0 0.96 1 1 17 32 1 1.39216 1 1.78431
102 6.18821 34875.5 2.65588e+07 0 2 0 1 0.00204444 0.00449123 0.001 1 115 291 1 0 0 0 1 0 0.96 1 1 13 31 1 1.38835 1 1.7767
103 6.23294 34949.5 2.66145e+07 0 1 0 1 0.00204252 0.00448798 0.0015 1 182 323 1 0 0 0 1 0 0.96 1 1 16 30 1 1.38462 1 1.76923
104 6.28005 35008.4 2.66593e+07 0 2 0 1 0.00204316 0.00448705 0.001 1 78 311 1 0 0 0 1 0 0.96 1 1 20 30 1 1.38095 1 1.7619
105 6.3268 35068.5 2.67044e+07 0 2 0 1 0.00204558 0.00447158 0 0 0 311 0 1 0 1 0 0 0.96 1 1 18 30 1 1.37736 1 1.75472
106 6.37216 35135.7 2.67569e+07 0 1 0 1 0.00204563 0.00446326 0 0 0 0 0 1 0 1 0 0 0.96 1 1 18 30 1 1.37383 1 1.74766
107 6.41525 35214.9 2.68165e+07 0 1 0 1 0.0020445 0.00444662 0.0005 1 99 99 1 0 0 0 1 0 0.96 1 1 12 31 1 1.37037 1 1.74074
108 6.46203 35272 2.68616e+07 0 2 0 1 0.00204382 0.0044442 0.001 1 120 159 1 0 0 0 1 0 0.96 1 1 15 32 1 1.36697 1 1.73394
109 6.50852 35329.8 2.69051e+07 0 1 0 1 0.00204381 0.00443773 0.001 1 56 147 1 0 0 0 1 0 0.96 1 1 17 31 1 1.36364 1 1.72727
110 6.5563 35379.5 2.69445e+07 0 2 0 1 0.00204323 0.00443434 0.0005 1 176 205 1 0 0 0 1 0 0.96 1 1 17 30 1 1.36036 1 1.72072
111 6.60033 35449.5 2.69979e+07 0 2 0 1 0.00204416 0.00443504 0.0015 1 46 209 1 0 0 0 1 0 0.96 1 1 21 31 1 1.35714 1 1.71429
112 6.64542 35512.6 2.7046e+07 0 2 0 1 0.00204701 0.00444555 0 0 0 209 0 1 0 1 0 0 0.96 1 1 21 30 1 1.35398 1 1.70796
113 6.69116 35571.2 2.7092e+07 0 1 0 1 0.00204867 0.00443436 0 0 0 0 0 1 0 1 0 0 0.96 1 1 13 30 1 1.35088 1 1.70175
114 6.7354 35637.3 2.71451e+07 0 1 0 1 0.00205196 0.00444452 0 0 0 0 0 1 0 1 0 0 0.864 1 1 9 30 1 1.34783 1 1.69565
115 6.77885 35706.8 2.71979e+07 0 1 0 1 0.00205068 0.0044291 0.0005 1 180 180 1 0 0 0 1 0 0.864 1 1 20 30 1 1.34483 1 1.68966
116 6.82242 35774.7 2.72488e+07 0 1 0 1 0.00205078 0.00442511 0.001 1 124 208 1 0 0 0 1 0 0.864 1 1 16 30 1 1.34188 1 1.68376
117 6.86946 35822.8 2.72868e+07 0 1 0 1 0.00205219 0.00441834 0.0015 1 64 220 1 0 0 0 1 0 0.864 1 1 16 31 1 1.33898 1 1.67797
118 6.91322 35888 2.73364e+07 0 1 0 1 0.00205328 0.00441696 0.0015 1 100 210 1 0 0 0 1 0 0.864 1 1 22 32 1 1.33613 1 1.67227
119 6.95727 35950.8 2.73847e+07 0 3 0 1 0.00205601 0.00442105 0.0005 1 108 238 1 0 0 0 1 0 0.864 1 1 8 33 1 1.33333 1 1.66667
120 7.00163 36011.1 2.74297e+07 0 3 0 1 0.00205893 0.00441838 0.0005 1 91 243 1 0 0 0 1 0 0.864 1 1 17 34 1 1.33058 1 1.66116
121 7.04826 36058.6 2.74655e+07 0 2 0 1 0.00206049 0.00441054 0.001 1 121 250 1 0 0 0 1 0 0.864 1 1 16 34 1 1.32787 1 1.65574
122 7.0955 36102.1 2.74988e+07 0 3 0 1 0.00206157 0.00441323 0.0005 1 106 252 1 0 0 0 1 0 0.864 1 1 16 35 1 1.3252 1 1.65041
123 7.14023 36158.2 2.75414e+07 0 3 0 1 0.00206157 0.00440816 0.0005 1 152 240 1 0 0 0 1 0 0.864 1 1 10 34 1 1.32258 1 1.64516
124 7.18497 36213.6 2.75863e+07 0 3 0 1 0.00206468 0.00442119 0 0 0 240 0 1 0 1 0 0 0.8736 1 1 9 33 1 1.32 1 1.64
125 7.22911 36271.4 2.76308e+07 0 1 0 1 0.0020625 0.00441045 0.0005 1 58 58 1 0 0 0 1 0 0.8736 1 1 21 32 1 1.31746 1 1.63492
126 7.27482 36320.3 2.76684e+07 0 2 0 1 0.00206147 0.00439636 0.001 1 160 182 1 0 0 0 1 0 0.8736 1 1 15 31 1 1.31496 1 1.62992
127 7.32233 36359.3 2.76988e+07 0 2 0 1 0.0020624 0.00439622 0.0015 1 149 215 1 0 0 0 1 0 0.8736 1 1 12 31 1 1.3125 1 1.625
128 7.36675 36413.6 2.77406e+07 0 3 0 1 0.00206399 0.00439942 0.001 1 91 230 1 0 0 0 1 0 0.8736 1 1 16 32 1 1.31008 1 1.62016
129 7.41153 36465.4 2.77804e+07 0 1 0 1 0.00206691 0.00441067 0.002 1 92 258 1 0 0 0 1 0 0.8736 1 1 21 33 1 1.30769 1 1.61538
130 7.4568 36514.1 2.78186e+07 0 2 0 1 0.00206845 0.00441079 0.0015 1 62 256 1 0 0 0 1 0 0.8736 1 1 22 34 1 1.30534 1 1.61069
131 7.50314 36556.7 2.78519e+07 0 2 0 1 0.00206913 0.00439948 0.0015 1 136 268 1 0 0 0 1 0 0.8736 1 1 15 35 1 1.30303 1 1.60606
132 7.54867 36602.9 2.78871e+07 0 2 0 1 0.0020698 0.00440121 0.001 1 179 275 1 0 0 0 1 0 0.8736 1 1 13 35 1 1.30075 1 1.6015
133 7.59252 36656.9 2.79265e+07 0 1 0 1 0.00206613 0.00438812 0.001 1 96 265 1 0 0 0 1 0 0.8736 1 1 14 34 1 1.29851 1 1.59701
134 7.63781 36703.1 2.79622e+07 0 2 0 1 0.00206541 0.00437778 0.001 1 150 305 1 0 0 0 1 0 0.8736 1 1 14 33 1 1.2963 1 1.59259
135 7.68445 36742 2.79919e+07 0 3 0 1 0.00206534 0.00437174 0.0005 1 147 284 1 0 0 0 1 0 0.8736 1 1 11 34 1 1.29412 1 1.58824
136 7.73134 36779.2 2.80199e+07 0 3 0 1 0.00206706 0.0043747 0.001 1 75 289 1 0 0 0 1 0 0.8736 1 1 21 35 1 1.29197 1 1.58394
137 7.77884 36813 2.80457e+07 0 2 0 1 0.00206833 0.00437935 0.0005 1 100 303 1 0 0 0 1 0 0.8736 1 1 18 36 1 1.28986 1 1.57971
138 7.82565 36849.7 2.80724e+07 0 2 0 1 0.0020708 0.00438644 0 0 0 303 0 1 0 1 0 0 0.88224 1 1 14 35 1 1.28777 1 1.57554
139 7.87319 36882.4 2.80986e+07 0 1 0 1 0.00207121 0.00438426 0.0005 1 162 162 1 0 0 0 1 0 0.88224 1 1 20 35 1 1.28571 1 1.57143
140 7.9198 36919.1 2.81267e+07 0 2 0 1 0.00206993 0.00437406 0.001 1 98 204 1 0 0 0 1 0 0.88224 1 1 16 34 1 1.28369 1 1.56738
141 7.96348 36969.6 2.81647e+07 0 1 0 1 0.00206618 0.00436228 0.001 1 68 224 1 0 0 0 1 0 0.88224 1 1 21 33 1 1.28169 1 1.56338
